Italian,English
non,not
di,Of
che,that
è,And
e,And
la,there
il,the
un,a
a,to
per,for
in,in
una,a
mi,me
sono,I'm
ho,I have
ma,but
l',L'
lo,the
ha,has
le,the
si,Yes
ti,you
i,the
con,with
cosa,what
se,self
io,I
come,how
da,from
ci,there
no,no
questo,this
qui,here
e',And'
hai,you have
sei,six
del,of the
bene,well
tu,you
sì,Yes
me,myself
più,more
al,to the
mio,my
c',there
perché,Why
lei,she
solo,alone
te,you
era,era
gli,the
tutto,everything
della,from the
così,like this
mia,my
ne,neither
questa,this
fare,do
quando,when
ora,Now
fatto,done
essere,to be
so,so
mai,never
chi,who
o,or
alla,at the
tutti,everyone
molto,Very
dei,of the
anche,also
detto,said
quello,that
va,it goes
niente,nothing
grazie,thank you
lui,he
voglio,I want
abbiamo,we have
stato,state
nel,In the
suo,his
dove,where is it
posso,I can
oh,Oh
prima,first
allora,At that time
siamo,are
d',d '
uno,one
un',a
sua,her
tuo,your
hanno,they have
noi,we
sta,is
fa,does
due,two
vuoi,you want to
ancora,still
qualcosa,something
vero,real
casa,home
sia,is
su,on
tua,your
sempre,always
forse,perhaps
dire,to say
vi,you
loro,They
i',the'
altro,other
sai,you know
stai,you are
devo,I must
quella,that
vita,life
quel,that
delle,of the
tempo,time
andare,go
certo,Certain
poi,then
nella,in
uomo,man
signore,man
ad,to
po',bit'
può,can
credo,I believe
voi,you
già,already
adesso,now
andiamo,let's go
anni,years
all',all
visto,seen
fuori,out
proprio,own
parte,part
davvero,really
vuole,wants
li,there
dell',dell
sto,I'm
quanto,how much
volta,time
via,Street
sul,on
é,And
dio,God
sarà,Sara
dopo,after
senza,without
cose,what's this
nessuno,nobody
fai,you do
giorno,day
ed,and
meglio,better
padre,father
puoi,you can
ciao,Hello
cos',COS
devi,you have to
ecco,there
qualcuno,someone
dal,from the
lavoro,work
sa,knows
ai,to the
vedere,see
ogni,every
ii,II
troppo,too
posto,place
cui,which
tanto,much
male,bad
dai,come on
ce,there is
bisogno,need
signor,Mr
beh,well
perchè,why
vieni,Come
alle,at
dalla,from the
stata,was
tra,between
vai,Go
ehi,Hey
miei,my
amico,friend
dice,He says
sarebbe,would be
avete,you have
altra,other
deve,needs to
sulla,on the
qualche,some
sembra,it seems
gente,people
dobbiamo,we have to
modo,way
tre,three
momento,moment
prego,You are welcome
parlare,speak
mamma,mum
guarda,look
signora,Mrs
grande,great
lì,there
madre,mother
possiamo,We can
avanti,forward
avere,to have
successo,success
ero,I was
donna,woman
nuovo,new one
ah,ah
faccio,I do
aveva,had
nostro,our
degli,of the
questi,these
siete,you are
forza,force
piace,like it
bella,Pretty
dov',where
soldi,money
avevo,I had
favore,favor
fosse,is
altri,others
dispiace,sorry
subito,right away
dentro,inside
oggi,today
accordo,agreement
tutta,all
faccia,face
nome,first name
ok,ok
notte,night
queste,these
figlio,son
mondo,world
nostra,our
sapere,know
vado,I'm going
tutte,all
aspetta,Wait
amare,to love
moglie,wife
sicuro,safe
suoi,his
penso,I think
paura,fear
idea,idea
testa,head
papà,Pope
giusto,right
eh,eh
vorrei,I would like
senti,hear
presto,soon
uomini,men
ll,ll
basta,enough
potrebbe,could be
stesso,same
avuto,had
porta,door
erano,were
stare,to stay
buona,good
quindi,so
farlo,to do it
appena,just
abbia,have
ragione,reason
sentito,heard
ragazzi,boys
domani,tomorrow
ragazza,lass
ragazzo,boy
insieme,together
sotto,under
volevo,I wanted
pronto,ready
nei,in the
ciò,that is
volte,times
capito,understood
succede,happens
preso,taken
facendo,doing
piacere,pleasure
morto,died
tuoi,your
capitano,captain
letto,read
storia,history
caso,case
trovato,found
amici,friends
venire,to come
dico,I say
capisco,I understand
problema,problem
fino,until
tipo,guy
là,there
qua,here
pensi,think
aver,have
giorni,days
cazzo,cock
okay,okay
nulla,nothing
bello,nice
persone,people
buon,good
terra,Earth
ia,ia
dato,given
secondo,second
film,movie
nell',in the'
mano,but no
facciamo,we do
vediamo,we see
vedo,I see
stanno,they are
avrei,I would have
prendere,to take
dici,you say
serve,serve
morte,death
meno,less
città,city
occhi,eyes
fine,end
Sig.,Mr
ê,And
tesoro,treasure
scusi,excuse me
primo,first
credi,believe
salve,Hello
nave,ship
stiamo,we are
sera,evening
piano,plan
sento,I hear
macchina,machine
vostro,your
mani,hands
neanche,neither
dall',by
dottore,doctor
quale,which
